"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 00:00","2020","07","01","00:00","18.1","","17.2","","94","","0.0","","12","","10","","","","94.28","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 01:00","2020","07","01","01:00","18.0","","17.1","","95","","0.0","","13","","8","","","","94.28","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 02:00","2020","07","01","02:00","16.7","","15.4","","92","","0.0","","22","","23","","","","94.29","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 03:00","2020","07","01","03:00","16.3","","15.1","","93","","1.2","","21","","16","","","","94.28","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 04:00","2020","07","01","04:00","15.5","","14.4","","93","","0.0","","10","","7","","","","94.26","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 05:00","2020","07","01","05:00","15.9","","15.0","","94","","0.0","","17","","9","","","","94.31","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 06:00","2020","07","01","06:00","15.4","","14.4","","94","","3.1","","16","","8","","","","94.32","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 07:00","2020","07","01","07:00","15.4","","14.5","","94","","0.6","","12","","5","","","","94.26","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 08:00","2020","07","01","08:00","15.7","","14.7","","94","","0.5","","14","","13","","","","94.33","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 09:00","2020","07","01","09:00","15.4","","14.3","","93","","0.2","","10","","6","","","","94.26","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 10:00","2020","07","01","10:00","16.2","","14.3","","89","","0.0","","12","","14","","","","94.31","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 11:00","2020","07","01","11:00","18.0","","15.3","","84","","0.0","","14","","18","","","","94.32","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 12:00","2020","07","01","12:00","20.4","","13.1","","63","","0.0","","17","","22","","","","94.28","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 13:00","2020","07","01","13:00","21.2","","12.0","","56","","0.0","","18","","27","","","","94.28","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 14:00","2020","07","01","14:00","21.3","","11.1","","52","","0.0","","18","","31","","","","94.34","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 15:00","2020","07","01","15:00","22.2","","11.8","","52","","0.0","","19","","31","","","","94.37","","","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 16:00","2020","07","01","16:00","22.5","","11.9","","51","","0.0","","19","","27","","","","94.41","","25","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 17:00","2020","07","01","17:00","22.9","","11.9","","50","","0.0","","19","","26","","","","94.43","","25","","","","NA"
"-106.72","52.17","SASKATOON RCS","4057165","2020-07-01 18:00","2020","07","01","18:00","23.2","","10.4","","44","","0.0","","18","","19","","","","94.45","","25","","","","NA"
